SNO,FileName,Index,KeyHash,Key,Translation
2533711,Item_X2_HoradricCube_TuningStone_1,0,4062401,Name,"{icon:Cube_TooltipIcon, 2}攻撃的な同調プリズム"
2533711,Item_X2_HoradricCube_TuningStone_1,1,2789670820,Description,"{c_important}ホラドリムのキューブ{/c}{icon:Cube_TooltipIcon, 1.5}で使用することで、{c_important}攻撃{/c}{icon:TemperAttribute_Offensive, 1.5}特性の変成が可能になる。

入手元:
{icon:bullet,1.2}{c_highlight}作戦計画{/c}{icon:FontIcon_WarPlans, 1.8}の{c_important}キューブの戦利品{/c}{icon:Cube_TooltipIcon, 1.5}
{icon:bullet,1.2}{c_highlight}囁きの木{/c}{icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5}の{c_important}箱の報酬{/c}
{icon:bullet,1.2}{c_important}エリート{/c}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5}モンスター
{icon:bullet,1.2}{c_highlight}クラスト地下都市{/c}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5}"
2533711,Item_X2_HoradricCube_TuningStone_1,2,4123507722,Flavor,「創造の素材は、この世界のあらゆる粒子の中に豊富に存在している。それをどう形成するかは、意志のみによって決定される。いわば我々の意志と創造の意志とのせめぎ合いなのだ」―ゾルタン・クーレ
2533714,Item_X2_HoradricCube_TuningStone_2,0,4062401,Name,"{icon:Cube_TooltipIcon, 2}守護者の同調プリズム"
2533714,Item_X2_HoradricCube_TuningStone_2,1,2789670820,Description,"{c_important}ホラドリムのキューブ{/c}{icon:Cube_TooltipIcon, 1.5}で使用することで、{c_important}防御{/c}{icon:TemperAttribute_Defensive, 1.5}特性の変成が可能になる。

入手元:
{icon:bullet,1.2}{c_highlight}作戦計画{/c}{icon:FontIcon_WarPlans, 1.8}の{c_important}キューブの戦利品{/c}{icon:Cube_TooltipIcon, 1.5}
{icon:bullet,1.2}{c_highlight}囁きの木{/c}{icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5}の{c_important}箱の報酬{/c}
{icon:bullet,1.2}{c_important}エリート{/c}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5}モンスター
{icon:bullet,1.2}{c_highlight}クラスト地下都市{/c}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5}"
2533714,Item_X2_HoradricCube_TuningStone_2,2,4123507722,Flavor,「創造の素材は、この世界のあらゆる粒子の中に豊富に存在している。それをどう形成するかは、意志のみによって決定される。いわば我々の意志と創造の意志とのせめぎ合いなのだ」―ゾルタン・クーレ
2533717,Item_X2_HoradricCube_TuningStone_3,0,4062401,Name,"{icon:Cube_TooltipIcon, 2}豊穣な同調プリズム"
2533717,Item_X2_HoradricCube_TuningStone_3,1,2789670820,Description,"{c_important}ホラドリムのキューブ{/c}{icon:Cube_TooltipIcon, 1.5}で使用することで、{c_important}リソース{/c}{icon:TemperAttribute_Resource, 1.5}特性の変成が可能になる。

入手元:
{icon:bullet,1.2}{c_highlight}作戦計画{/c}{icon:FontIcon_WarPlans, 1.8}の{c_important}キューブの戦利品{/c}{icon:Cube_TooltipIcon, 1.5}
{icon:bullet,1.2}{c_highlight}囁きの木{/c}{icon:Icon_Tooltip_Marker_Bounties_TurnIn, 1.5}の{c_important}箱の報酬{/c}
{icon:bullet,1.2}{c_important}エリート{/c}{icon:Icon_Tooltip_Marker_Hostile_SuperElite, 1.5}モンスター
{icon:bullet,1.2}{c_highlight}クラスト地下都市{/c}{icon:Icon_Tooltip_Marker_Undercity_Entrance, 1.5}"
2533717,Item_X2_HoradricCube_TuningStone_3,2,4123507722,Flavor,「創造の素材は、この世界のあらゆる粒子の中に豊富に存在している。それをどう形成するかは、意志のみによって決定される。いわば我々の意志と創造の意志とのせめぎ合いなのだ」―ゾルタン・クーレ
2533719,Item_X2_HoradricCube_TuningStone_4,0,4062401,Name,"{icon:Cube_TooltipIcon, 2}実用的な同調プリズム"
